id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
MINK1,29.555,27.3358,31.5652,24.8816,24.8067,24.5845,27.12146667
TOP1,70.1699,74.318,68.8316,78.7453,77.5077,82.1048,75.27955
SPPL2A,134.248,144.44,142.11,137.39,132.287,140.384,138.4765
OPALIN,0,0,0,0,0,0,0
TRIM16L,39.7824,48.3209,42.0977,38.42,29.7472,32.0935,38.41028333
ATP5G2,484.264,485.923,491.144,474.391,502.962,456.561,482.5408333
THBD,3.58531,3.9629,4.11937,4.49246,3.61208,3.89123,3.943891667
FAM133B,15.4012,15.6077,13.8247,17.6186,16.6786,18.8646,16.33256667
RHOD,33.1774,32.5302,35.4947,49.362,54.6502,44.038,41.54208333
FAM27B,0,0,0,0,0,0,0
FAM203B,10.7386,9.07942,10.4569,10.8759,9.88656,10.9504,10.33129667
RENBP,0.582575,0.637701,0.610547,0.666929,0.552308,0.385934,0.572665667
MYO7B,0,0.0217082,0,0.0106993,0,0.00876266,0.006861693
CTXN2,0.0472383,0.0500787,0.18565,0,0.160716,0.235239,0.113153667
FAM72D,6.16455,6.92357,6.16302,6.94942,6.307,7.08262,6.598363333
ZCCHC4,2.0998,2.2428,2.04111,2.08726,2.15825,2.49218,2.1869
MED20,13.9488,13.7302,13.7329,11.8158,12.7974,12.2961,13.05353333
NT5M,0.910852,0.879405,0.89493,1.18402,1.39905,1.2526,1.0868095
CERKL,0.319287,0.411163,0.292992,0.267385,0.284341,0.391512,0.32778
COIL,22.1878,23.6314,21.5709,23.2868,21.872,23.5933,22.69036667
EHD3,3.24734,3.35238,3.45184,2.93393,2.78683,2.90221,3.112421667
NAE1,26.1594,23.6936,26.3313,30.4623,25.8792,30.7393,27.21085
SRSF6,59.6184,58.1811,59.1467,61.2701,61.9712,63.4483,60.60596667
LRRC8E,9.9594,8.57724,9.73902,7.64472,7.84732,9.26414,8.83864
PLGLB1,2.54208,2.40168,2.80658,2.24419,2.19961,2.38039,2.429088333
MUTYH,8.51542,8.32573,9.76899,7.42228,6.63482,7.0078,7.94584
OR10J3,0,0,0,0,0,0,0
TEKT1,0,0,0,0,0,0,0
YWHAG,65.3347,68.6241,65.3199,79.6185,74.3954,80.4769,72.29491667
ALOX5AP,0.0997109,0.0352355,0.0435413,0.0336036,0.0376168,0.0412842,0.048498717
RAB28,7.47724,9.2872,6.75106,8.29288,7.96469,9.41412,8.197865
RP11-683L23.1,1.84585,1.76462,2.35797,2.69009,2.32389,1.81609,2.133085
EIF3J,37.6109,36.9386,36.9832,46.7841,51.0796,49.3126,43.11816667
CERS5,37.7227,38.501,41.2299,36.6745,38.6165,39.6368,38.73023333
CLDN16,0,0.00792995,0.00979922,0,0,0.00929124,0.004503402
SHISA3,0,0,0,0.0262892,0.0147144,0,0.006833933
IREB2,50.3905,39.0704,42.0517,46.8604,34.5581,44.4339,42.89416667
HDAC1,65.9921,65.1124,64.722,65.4706,61.6007,63.6499,64.42461667
HES4,5.9697,6.18553,8.27463,6.24349,11.5086,6.38838,7.428388333
YAF2,9.69116,10.1364,11.7733,10.9868,12.5036,11.2574,11.05811
GGA2,22.2076,24.8094,23.7678,27.035,26.22,25.0989,24.85645
LDHC,0,0,0,0.18499,0.0525363,0,0.039587717
TEKT3,0.247908,0.0980995,0.285849,0.464937,0.102053,0.0744698,0.212219383
SVOPL,0.323229,0.255869,0.367879,0.207494,0.252152,0.251466,0.276348167
TMEM9B,20.6584,23.6118,20.9282,23.868,20.9896,25.5302,22.5977
TRIM54,0.0882082,0.0828813,0.0682821,0.026345,0.0294913,0.0971139,0.065386967
CDY2A,0,0,0,0,0,0,0
CBY1,15.2957,14.7287,15.9025,17.1183,14.4782,13.8968,15.2367
APOA2,0,0,0.669246,2.67361,0,0,0.557142667
NELFA,12.7049,12.3745,12.865,12.6368,13.0612,13.1727,12.80251667
NAP1L2,3.78394,3.60849,3.67122,3.49489,2.85242,3.64024,3.508533333
RYR2,0.00154672,0.0098393,0.0162116,0.0188748,0.0140058,0.0019212,0.010399903
TMED9,169.966,164.179,182.21,174.964,156.782,154.944,167.1741667
CENPB,47.5494,46.7334,49.9674,53.8598,48.7679,46.5766,48.90908333
LIFR,1.58049,1.50824,1.51445,1.6176,1.38656,1.63739,1.540788333
AMBRA1,8.34709,8.34412,8.96006,7.37577,7.5578,6.95455,7.923231667
FAM27E3,0,0,0,0,0,0,0
FOXA3,0.0257397,0.0136437,0.0168598,0.0390354,0.0582631,0.0159858,0.028254583
