ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006744,2414.413598,0.32859429,0.048166563,6.822041404,8.98E-12,5.60E-11
ENSG00000006747,117.3133057,-0.288521574,0.114238666,-2.525603489,0.011549976,0.026819059
ENSG00000006756,507.0125655,-0.945585965,0.076114181,-12.42325605,1.95E-35,3.73E-34
ENSG00000006757,47.66234803,-0.095206515,0.177975694,-0.534941109,0.59269058,0.718462597
ENSG00000006831,2845.978035,-0.603192532,0.055014584,-10.96422971,5.68E-28,8.09E-27
ENSG00000006837,70.52275737,-0.059037949,0.158894313,-0.371554829,0.710224326,0.809934653
ENSG00000007047,236.2177202,0.097855999,0.089293314,1.095893911,0.273125204,0.409269757
ENSG00000007080,611.9807625,0.318689056,0.074952716,4.251868037,2.12E-05,7.50E-05
ENSG00000007129,426.966449,0.009978538,0.083154003,0.120000692,0.9044826,0.94119845
ENSG00000007168,2710.218263,-0.012127627,0.053586297,-0.226319552,0.820952893,0.886541156
ENSG00000007202,8672.471478,0.100484997,0.043499563,2.310023138,0.020886873,0.04574065
ENSG00000007255,383.9898198,-0.770420395,0.080628892,-9.555140565,1.23E-21,1.39E-20
ENSG00000007264,882.909214,0.513623068,0.055847369,9.196907227,3.68E-20,3.81E-19
ENSG00000007341,280.269493,0.024209918,0.081678457,0.296405183,0.766920667,0.850346349
ENSG00000007376,1232.173204,0.183481308,0.05180403,3.541834674,0.000397354,0.001192063
ENSG00000007384,794.3563685,-1.103808855,0.073625825,-14.99214253,8.26E-51,2.43E-49
ENSG00000007392,1424.318083,0.053419776,0.052245375,1.022478569,0.306554451,0.447172765
ENSG00000007516,279.0670576,-0.064797342,0.091735379,-0.70635062,0.479970121,0.621313797
ENSG00000007520,999.9377356,0.136819843,0.065666907,2.083543284,0.037201731,0.076299918
ENSG00000007541,844.9394389,-0.335739332,0.057340674,-5.855168884,4.77E-09,2.44E-08
ENSG00000007545,434.5597383,-0.28654095,0.069764248,-4.107274982,4.00E-05,0.000137342
